task,optimizer,baseline,win,two_x,rationale
block_structure_classification,blockwise_consensus_direction_optimizer,bcdo_cnn_reference,False,False,no clear advantage
breast_cancer_mlp,blockwise_consensus_direction_optimizer,bcdo_cnn_reference,True,False,matched accuracy with fewer steps
digits_cnn,blockwise_consensus_direction_optimizer,bcdo_cnn_reference,False,False,no clear advantage
digits_mlp,blockwise_consensus_direction_optimizer,bcdo_cnn_reference,False,False,no clear advantage
direction_reversal_objective,blockwise_consensus_direction_optimizer,bcdo_cnn_reference,False,False,no clear advantage
low_rank_matrix_objective,blockwise_consensus_direction_optimizer,bcdo_cnn_reference,False,False,no clear advantage
moons_mlp,blockwise_consensus_direction_optimizer,bcdo_cnn_reference,False,False,no clear advantage
oscillatory_valley,blockwise_consensus_direction_optimizer,bcdo_cnn_reference,True,False,lower best validation loss
plateau_escape_objective,blockwise_consensus_direction_optimizer,bcdo_cnn_reference,True,False,lower best validation loss
saddle_objective,blockwise_consensus_direction_optimizer,bcdo_cnn_reference,True,False,lower best validation loss
wine_mlp,blockwise_consensus_direction_optimizer,bcdo_cnn_reference,False,False,no clear advantage
block_structure_classification,blockwise_consensus_direction_optimizer,magneto_hamiltonian_adam,True,False,higher best validation accuracy
breast_cancer_mlp,blockwise_consensus_direction_optimizer,magneto_hamiltonian_adam,True,False,higher best validation accuracy
digits_cnn,blockwise_consensus_direction_optimizer,magneto_hamiltonian_adam,True,False,higher best validation accuracy
digits_mlp,blockwise_consensus_direction_optimizer,magneto_hamiltonian_adam,True,False,higher best validation accuracy
direction_reversal_objective,blockwise_consensus_direction_optimizer,magneto_hamiltonian_adam,True,False,lower best validation loss
low_rank_matrix_objective,blockwise_consensus_direction_optimizer,magneto_hamiltonian_adam,False,False,no clear advantage
moons_mlp,blockwise_consensus_direction_optimizer,magneto_hamiltonian_adam,True,False,higher best validation accuracy
oscillatory_valley,blockwise_consensus_direction_optimizer,magneto_hamiltonian_adam,True,True,lower best validation loss
plateau_escape_objective,blockwise_consensus_direction_optimizer,magneto_hamiltonian_adam,True,False,lower best validation loss
saddle_objective,blockwise_consensus_direction_optimizer,magneto_hamiltonian_adam,True,False,lower best validation loss
wine_mlp,blockwise_consensus_direction_optimizer,magneto_hamiltonian_adam,True,False,higher best validation accuracy
block_structure_classification,blockwise_consensus_direction_optimizer,adamw,True,True,matched accuracy with fewer steps
breast_cancer_mlp,blockwise_consensus_direction_optimizer,adamw,True,True,matched accuracy with fewer steps
digits_cnn,blockwise_consensus_direction_optimizer,adamw,False,False,no clear advantage
digits_mlp,blockwise_consensus_direction_optimizer,adamw,False,False,no clear advantage
direction_reversal_objective,blockwise_consensus_direction_optimizer,adamw,True,False,lower best validation loss
low_rank_matrix_objective,blockwise_consensus_direction_optimizer,adamw,True,False,lower best validation loss
moons_mlp,blockwise_consensus_direction_optimizer,adamw,False,False,no clear advantage
oscillatory_valley,blockwise_consensus_direction_optimizer,adamw,True,True,lower best validation loss
plateau_escape_objective,blockwise_consensus_direction_optimizer,adamw,True,True,lower best validation loss
saddle_objective,blockwise_consensus_direction_optimizer,adamw,True,True,lower best validation loss
wine_mlp,blockwise_consensus_direction_optimizer,adamw,False,False,no clear advantage
block_structure_classification,blockwise_consensus_direction_optimizer,rmsprop,False,False,no clear advantage
breast_cancer_mlp,blockwise_consensus_direction_optimizer,rmsprop,True,False,matched accuracy with fewer steps
digits_cnn,blockwise_consensus_direction_optimizer,rmsprop,False,False,no clear advantage
digits_mlp,blockwise_consensus_direction_optimizer,rmsprop,False,False,no clear advantage
direction_reversal_objective,blockwise_consensus_direction_optimizer,rmsprop,True,False,lower best validation loss
low_rank_matrix_objective,blockwise_consensus_direction_optimizer,rmsprop,True,False,lower best validation loss
moons_mlp,blockwise_consensus_direction_optimizer,rmsprop,False,False,no clear advantage
oscillatory_valley,blockwise_consensus_direction_optimizer,rmsprop,True,False,lower best validation loss
plateau_escape_objective,blockwise_consensus_direction_optimizer,rmsprop,True,False,lower best validation loss
saddle_objective,blockwise_consensus_direction_optimizer,rmsprop,True,False,lower best validation loss
wine_mlp,blockwise_consensus_direction_optimizer,rmsprop,False,False,no clear advantage
block_structure_classification,blockwise_consensus_direction_optimizer,sgd_momentum,False,False,no clear advantage
breast_cancer_mlp,blockwise_consensus_direction_optimizer,sgd_momentum,True,True,matched accuracy with fewer steps
digits_cnn,blockwise_consensus_direction_optimizer,sgd_momentum,False,False,no clear advantage
digits_mlp,blockwise_consensus_direction_optimizer,sgd_momentum,False,False,no clear advantage
direction_reversal_objective,blockwise_consensus_direction_optimizer,sgd_momentum,False,False,no clear advantage
low_rank_matrix_objective,blockwise_consensus_direction_optimizer,sgd_momentum,False,False,no clear advantage
moons_mlp,blockwise_consensus_direction_optimizer,sgd_momentum,False,False,no clear advantage
oscillatory_valley,blockwise_consensus_direction_optimizer,sgd_momentum,True,False,lower best validation loss
plateau_escape_objective,blockwise_consensus_direction_optimizer,sgd_momentum,True,False,lower best validation loss
saddle_objective,blockwise_consensus_direction_optimizer,sgd_momentum,True,False,lower best validation loss
wine_mlp,blockwise_consensus_direction_optimizer,sgd_momentum,False,False,no clear advantage
