family,representative_method,source_title,source_url,what_it_does,direction_or_transform,scope,already_covers,difference_from_bcdo_reference,required_baseline
Momentum / SGD,SGD with momentum,On the importance of initialization and momentum in deep learning,https://proceedings.mlr.press/v28/sutskever13.html,Accumulates a velocity vector and follows a smoothed gradient direction.,Transforms gradient into velocity; does not choose among multiple candidate directions.,Global / per-parameter,Low-state directional persistence and strong practical baselines.,BCDO explicitly selects blockwise directions from a candidate pool instead of using one momentum recursion.,sgd_momentum
RMSProp,RMSProp,"Neural Networks for Machine Learning, Lecture 6e",https://www.cs.toronto.edu/~hinton/coursera/lecture6/lec6.pdf,Normalizes updates by an EMA of squared gradients.,Per-parameter scaling of the gradient; no candidate selection.,Per-parameter,Cheap adaptivity and strong small/noisy benchmark performance.,BCDO keeps step magnitude separate and focuses on blockwise direction trust rather than coordinate-wise variance scaling.,rmsprop
Adam / AdamW,AdamW,Decoupled Weight Decay Regularization,https://arxiv.org/abs/1711.05101,Uses first and second moments with decoupled weight decay.,Transforms the gradient through EMA momentum and variance normalization.,Per-parameter,The standard strong adaptive baseline.,BCDO is not an Adam-family moment method; it stores block trust and direction memories instead of Adam moments.,adamw
Lion,Lion,Symbolic Discovery of Optimization Algorithms,https://arxiv.org/abs/2302.06675,Uses sign momentum updates with low state overhead.,Transforms the gradient into a signed momentum direction.,Per-parameter,Low-memory momentum-like direction control.,BCDO chooses blockwise directions from several structured candidates instead of committing to a single signed-momentum rule.,lion
Muon / matrix orthogonalization,Muon,Muon is Scalable for LLM Training,https://arxiv.org/abs/2502.16982,"Orthogonalizes matrix updates, typically via Newton-Schulz or related matrix steps.",Transforms matrix gradients into orthogonalized matrix directions.,Matrix-wise / blockwise,Matrix geometry and orthogonalized updates.,"BCDO may include a Muon-like candidate, but only as one option inside a broader blockwise trust-and-selection rule.",muon_hybrid
Shampoo,Shampoo,Shampoo: Preconditioned Stochastic Tensor Optimization,https://arxiv.org/abs/1802.09568,Uses tensor-mode preconditioners for structured second-order scaling.,Transforms gradients with block/tensor preconditioners.,Tensor / block-wise,Structured preconditioning with heavy compute/state cost.,BCDO is not a tensor preconditioner; it is a candidate-direction selector with lightweight block memory.,muon_hybrid
K-FAC / natural gradient,K-FAC,Optimizing Neural Networks with Kronecker-factored Approximate Curvature,https://arxiv.org/abs/1503.05671,Approximates natural-gradient curvature with Kronecker factors.,Transforms gradients with an approximate inverse curvature matrix.,Layer / block-wise,Curvature-aware structured updates.,BCDO does not estimate curvature; it evaluates candidate directions by trust signals such as coherence and recoverability.,adamw
SAM / ASAM,SAM,Sharpness-Aware Minimization for Efficiently Improving Generalization,https://arxiv.org/abs/2010.01412,Optimizes for flat neighborhoods by solving a local min-max problem.,Transforms the objective / gradient using a perturb-and-recompute step.,Global / layer-wise perturbation,Neighborhood robustness and flatness-aware updates.,"BCDO uses cheap blockwise perturbation only to gate candidate trust, not to redefine the full objective.",adamw
Gradient surgery,PCGrad,Gradient Surgery for Multi-Task Learning,https://arxiv.org/abs/2001.06782,Projects conflicting task gradients away from one another.,Selects/projectively edits a gradient combination across task losses.,Task-global / shared-parameter,Explicit conflict projection when multiple loss gradients are available.,BCDO works with single-task blocks too and compares a richer candidate pool than pairwise task projections.,magneto_hamiltonian_adam
Conflict-aware MTL,CAGrad,Conflict-Averse Gradient Descent for Multi-task learning,https://openreview.net/forum?id=_61Qh8tULj_,Balances average descent with worst-task local improvement.,Chooses a joint gradient direction under conflict constraints.,Task-global,Conflict-aware direction selection for multi-loss settings.,BCDO operates blockwise and does not require multiple explicit task gradients to define its trust rule.,magneto_hamiltonian_adam
Lookahead,Lookahead,"Lookahead Optimizer: k steps forward, 1 step back",https://papers.nips.cc/paper_files/paper/2019/file/90fd4f88f588ae64038134f1eeaa023f-Paper.pdf,Averages fast inner optimizer trajectories with slower outer steps.,Wraps another optimizer rather than defining a new local direction rule.,Global,Trajectory smoothing and schedule robustness.,BCDO makes block-local direction choices directly; it is not a two-timescale wrapper.,adamw
Learned optimizers,VeLO,VeLO: Training Versatile Learned Optimizers by Scaling Up,https://arxiv.org/abs/2211.09760,Meta-learns an optimizer across many tasks.,Learns update transformations from data instead of hand-specifying the rule.,Global / meta-learned,Large-scale learned optimization policies.,"BCDO is hand-specified and interpretable, with explicit block trust components instead of a learned policy.",adamw
Block coordinate / direction methods,Block coordinate descent,Efficiency of Coordinate Descent Methods on Huge-Scale Optimization Problems,https://link.springer.com/article/10.1007/s10107-012-0597-5,Optimizes by choosing coordinates or blocks to update.,"Selects coordinates/blocks, often with simple local descent rules.",Coordinate / block-wise,Explicit block structure and block scheduling.,BCDO updates all blocks but selects different candidate directions inside each block based on trust.,sgd_momentum
Trust-region methods,Trust-region gradient methods,Trust Region Methods,https://epubs.siam.org/doi/book/10.1137/1.9780898719857,Limits step size according to a local trust model.,Uses trust to scale or reject steps.,Global / block-wise depending on method,Classical step acceptance and step scaling.,"BCDO uses trust to rank discrete candidate directions inside each block, not just to scale one search direction.",adamw
Evolutionary / black-box search,CMA-ES,Completely Derandomized Self-Adaptation in Evolution Strategies,https://docslib.org/doc/156104/completely-derandomized-self-adaptation-in-evolution-strategies,Samples directions from a search distribution rather than following backpropagation gradients directly.,Samples candidate directions rather than transforming the gradient.,Global population-based,Black-box candidate search and adaptation.,BCDO is still first-order and cheap enough for neural training; it scores a small deterministic candidate set per block.,sgd_momentum
