task,optimizer,baseline,win,two_x,rationale
pinn_harmonic_oscillator,block_direction_optimizer_v4_fast,block_direction_optimizer_v3,True,False,lower best validation loss
pinn_heat_equation,block_direction_optimizer_v4_fast,block_direction_optimizer_v3,True,False,lower best validation loss
pinn_poisson_1d,block_direction_optimizer_v4_fast,block_direction_optimizer_v3,True,False,lower best validation loss
pinn_harmonic_oscillator,block_direction_optimizer_v4_fast,magneto_hamiltonian_adam,True,False,lower best validation loss
pinn_heat_equation,block_direction_optimizer_v4_fast,magneto_hamiltonian_adam,True,False,lower best validation loss
pinn_poisson_1d,block_direction_optimizer_v4_fast,magneto_hamiltonian_adam,False,False,no clear advantage
pinn_harmonic_oscillator,block_direction_optimizer_v4_fast,real_hamiltonian_adam,True,False,lower best validation loss
pinn_heat_equation,block_direction_optimizer_v4_fast,real_hamiltonian_adam,True,False,lower best validation loss
pinn_poisson_1d,block_direction_optimizer_v4_fast,real_hamiltonian_adam,False,False,no clear advantage
pinn_harmonic_oscillator,block_direction_optimizer_v4_fast,adamw,True,False,lower best validation loss
pinn_heat_equation,block_direction_optimizer_v4_fast,adamw,False,False,no clear advantage
pinn_poisson_1d,block_direction_optimizer_v4_fast,adamw,False,False,no clear advantage
pinn_harmonic_oscillator,block_direction_optimizer_v4_fast,rmsprop,False,False,no clear advantage
pinn_heat_equation,block_direction_optimizer_v4_fast,rmsprop,True,False,lower best validation loss
pinn_poisson_1d,block_direction_optimizer_v4_fast,rmsprop,True,False,lower best validation loss
pinn_harmonic_oscillator,block_direction_optimizer_v4_fast,sgd_momentum,True,False,lower best validation loss
pinn_heat_equation,block_direction_optimizer_v4_fast,sgd_momentum,True,False,lower best validation loss
pinn_poisson_1d,block_direction_optimizer_v4_fast,sgd_momentum,True,False,lower best validation loss
