task,optimizer,baseline,win,two_x,rationale
block_structure_classification,block_direction_optimizer_v4_fast,block_direction_optimizer_v4_fast_legacy,False,False,no clear advantage
breast_cancer_mlp,block_direction_optimizer_v4_fast,block_direction_optimizer_v4_fast_legacy,False,False,no clear advantage
digits_cnn,block_direction_optimizer_v4_fast,block_direction_optimizer_v4_fast_legacy,True,False,higher best validation accuracy
digits_mlp,block_direction_optimizer_v4_fast,block_direction_optimizer_v4_fast_legacy,False,False,no clear advantage
direction_reversal_objective,block_direction_optimizer_v4_fast,block_direction_optimizer_v4_fast_legacy,False,False,no clear advantage
low_rank_matrix_objective,block_direction_optimizer_v4_fast,block_direction_optimizer_v4_fast_legacy,False,False,no clear advantage
moons_mlp,block_direction_optimizer_v4_fast,block_direction_optimizer_v4_fast_legacy,False,False,no clear advantage
oscillatory_valley,block_direction_optimizer_v4_fast,block_direction_optimizer_v4_fast_legacy,True,False,lower best validation loss
plateau_escape_objective,block_direction_optimizer_v4_fast,block_direction_optimizer_v4_fast_legacy,True,False,lower best validation loss
saddle_objective,block_direction_optimizer_v4_fast,block_direction_optimizer_v4_fast_legacy,True,False,lower best validation loss
wine_mlp,block_direction_optimizer_v4_fast,block_direction_optimizer_v4_fast_legacy,False,False,no clear advantage
block_structure_classification,block_direction_optimizer_v4_fast,block_direction_optimizer_v42,False,False,no clear advantage
breast_cancer_mlp,block_direction_optimizer_v4_fast,block_direction_optimizer_v42,True,False,matched accuracy with fewer steps
digits_cnn,block_direction_optimizer_v4_fast,block_direction_optimizer_v42,False,False,no clear advantage
digits_mlp,block_direction_optimizer_v4_fast,block_direction_optimizer_v42,False,False,no clear advantage
direction_reversal_objective,block_direction_optimizer_v4_fast,block_direction_optimizer_v42,False,False,no clear advantage
low_rank_matrix_objective,block_direction_optimizer_v4_fast,block_direction_optimizer_v42,False,False,no clear advantage
moons_mlp,block_direction_optimizer_v4_fast,block_direction_optimizer_v42,False,False,no clear advantage
oscillatory_valley,block_direction_optimizer_v4_fast,block_direction_optimizer_v42,True,False,lower best validation loss
plateau_escape_objective,block_direction_optimizer_v4_fast,block_direction_optimizer_v42,True,False,lower best validation loss
saddle_objective,block_direction_optimizer_v4_fast,block_direction_optimizer_v42,True,False,lower best validation loss
